,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts
,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
date,701,2024-03-17 00:00:00,2023-04-02 00:00:00,2023-09-24 00:00:00,2024-03-17 00:00:00,2024-09-08 00:00:00,2025-03-02 00:00:00,,,,,,,,,,379,2024-08-25 00:00:00,2024-02-18 00:00:00,2024-05-22 12:00:00,2024-08-25 00:00:00,2024-11-27 12:00:00,2025-03-02 00:00:00,,61,2024-10-31 19:16:43.278688512,2024-08-04 00:00:00,2024-09-04 00:00:00,2024-11-14 00:00:00,2024-12-22 00:00:00,2025-01-19 00:00:00,
page_followers,701.0,547.8174037089872,118.0,118.0,201.0,809.0,2148.0,695.6139781595565,,,,,,,,,,,,,,,,,,,,,,,,
total_impressions,701.0,1495.432239657632,0.0,0.0,30.0,1306.0,13009.0,3269.0382976455635,,,,,,,,,,,,,,,,,,,,,,,,
organic_impressions,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
total_page_reactions,701.0,19.40085592011412,0.0,0.0,0.0,3.0,1211.0,90.082869463039,,,,,,,,,,,,,,,,,,,,,,,,
total_reach,701.0,1346.018544935806,0.0,0.0,20.0,1069.0,11952.0,2993.6983479013084,,,,,,,,,,,,,,,,,,,,,,,,
%_of_reach_from_paid,701.0,36.41686162624822,0.0,0.0,0.0,99.08,100.0,47.13708114630861,,,,,,,,,,,,,,,,,,,,,,,,
page_post_engagements,701.0,57.49500713266762,0.0,0.0,1.0,37.0,610.0,146.5581465909641,,,,,,,,,,,,,,,,,,,,,,,,
total_likes,701.0,468.0114122681883,0.0,0.0,146.0,756.0,2113.0,720.6861887997557,,,,,,,,,,,,,,,,,,,,,,,,
new_likes,701.0,2.958630527817404,0.0,0.0,0.0,0.0,138.0,13.191111741586058,,,,,,,,,,,,,,,,,,,,,,,,
unlikes,701.0,0.10271041369472182,0.0,0.0,0.0,0.0,4.0,0.3753186269481668,,,,,,,,,,,,,,,,,,,,,,,,
net_likes,701.0,2.8559201141226818,-2.0,0.0,0.0,0.0,135.0,13.02856465789834,,,,,,,,,,,,,,,,,,,,,,,,
post_creation_date,,,,,,,,,307,2024-04-07 02:16:01.563517952,2023-10-04 00:00:00,2024-01-25 00:00:00,2024-03-15 00:00:00,2024-06-14 12:00:00,2025-01-19 00:00:00,,,,,,,,,,,,,,,,,
post_impressions,,,,,,,,,307.0,56.65602605863189,15.0,25.0,37.0,55.5,247.89999999999935,57.004833998432524,,,,,,,,,,,,,,,,
post_organic_reach,,,,,,,,,307.0,72.39739413680782,4.0,25.0,36.0,54.0,806.0,129.04188809094578,,,,,,,,,,,,,,,,
__of_reach_from_paid,,,,,,,,,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
