,,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Profile,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Facebook Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Posts,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile,Instagram Profile
,,total_impressions,total_reach,page_post_engagements,date,page_followers,organic_impressions,total_page_reactions,%_of_reach_from_paid,total_likes,new_likes,unlikes,net_likes,post_impressions,post_reach,total_post_reactions,post_creation_date,post_organic_reach,__of_reach_from_paid,__of_reach_from_organic,shares_on_posts,post_photo_views,video_views,comments_on_posts,shares_on_shares,organic_video_views,post_link_clicks,media_impressions,media_reach,like_count,date,media_id,comments_count,shares,unique_saves,video_views,profile_impressions,profile_reach,new_followers,date,shares,engagement,profile_visits,reel_shares
Before Winsorization,count,701.0,701.0,701.0,,,,,,,,,,307.0,307.0,307.0,,,,,,,,,,,,61.0,61.0,61.0,,,,,,,379.0,379.0,379.0,,,,,
Before Winsorization,mean,1495.432239657632,1346.018544935806,57.49500713266762,,,,,,,,,,56.65602605863189,55.654723127035794,0.6677524429967426,,,,,,,,,,,,1505.2459016393443,2433.8852459016393,70.65573770491804,,,,,,,4611.939577836408,3741.708970976253,4.005013192612136,,,,,
Before Winsorization,std,3269.0382976455635,2993.6983479013084,146.5581465909641,,,,,,,,,,57.004833998432524,56.33488223452079,1.0908273965680773,,,,,,,,,,,,1494.211672373738,1295.7132540080083,67.56105516392849,,,,,,,6815.09023534462,6037.430889485703,0.02185055869860798,,,,,
Before Winsorization,min,0.0,0.0,0.0,,,,,,,,,,15.0,15.0,0.0,,,,,,,,,,,,0.0,814.0,8.0,,,,,,,203.9,128.9,4.0,,,,,
Before Winsorization,25%,0.0,0.0,0.0,,,,,,,,,,25.0,25.0,0.0,,,,,,,,,,,,0.0,1382.0,24.0,,,,,,,658.0,500.0,4.0,,,,,
Before Winsorization,50%,30.0,20.0,1.0,,,,,,,,,,37.0,36.0,0.0,,,,,,,,,,,,1286.0,2237.0,46.0,,,,,,,1489.0,1166.0,4.0,,,,,
Before Winsorization,75%,1306.0,1069.0,37.0,,,,,,,,,,55.5,54.0,1.0,,,,,,,,,,,,2635.0,3019.0,94.0,,,,,,,5737.5,3541.0,4.0,,,,,
Before Winsorization,max,13009.0,11952.0,610.0,,,,,,,,,,247.89999999999935,245.49999999999937,4.0,,,,,,,,,,,,4797.0,5239.0,254.0,,,,,,,26227.99999999992,23648.399999999998,4.099999999999966,,,,,
After Winsorization,count,701.0,701.0,701.0,701,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,307.0,307.0,307.0,307,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,61.0,61.0,61.0,61,61.0,61.0,61.0,61.0,61.0,379.0,379.0,379.0,379,379.0,379.0,379.0,379.0
